	traj_0
cell109	0.09331506247176338
cell110	0.9140941782194606
cell111	0.13045100508866705
cell112	0.12796072560038296
cell113	0.13557154109774058
cell114	0.17912504087404202
cell115	0.13193701016740209
cell116	0.13852877569547048
cell117	0.983997099036122
cell118	0.13055859836115952
cell119	0.07598999186907743
cell120	0.13041214089142303
cell121	0.03018407584617952
cell122	0.1138286853461244
cell123	0.12952730839564186
cell124	0.013166940540268155
cell125	0.9658277821737
cell126	0.11364927231394338
cell127	0.10341304499494233
cell128	0.13819349104957535
cell129	0.6230366381116971
cell130	0.12448738648513943
cell131	0.13322878854741643
cell132	0.12877351575688006
cell133	0.12978350920645257
cell134	0.12998052117068856
cell135	0.1345386168918384
cell136	0.0789523233892187
cell137	0.13374993819987352
cell138	0.06975540093706287
cell139	0.8634549334387748
cell140	0.02349298529055175
cell141	0.11455637014588028
cell142	0.0028616823340984355
cell143	0.1319007222780822
cell144	0.1012640286584045
cell145	0.9743623707208614
cell146	0.1198861951513876
cell147	0.11131884571963369
cell148	0.9900028903107124
cell149	0.1059230209264064
cell150	0.1285001404977723
cell151	0.1132485710155856
cell152	0.13503222084158448
cell153	0.22200861098901975
cell154	0.5314667014323838
cell155	0.11830849109184198
cell156	0.09709343933589791
cell157	0.9920060412938051
cell158	0.15677730997773662
cell159	0.1310648639347083
cell160	0.1215913183548582
cell161	0.1333397752141225
cell162	0.12982922825730597
cell163	0.10780546929787942
cell164	0.1272458784156723
cell165	0.12044461924339074
cell166	0.037840870665177745
cell167	0.5841384567493919
cell168	0.12906057015319236
cell169	0.11271264981693563
cell170	0.002974013054173626
cell171	0.13233533748645618
cell172	0.13023901580620714
cell173	0.034723913929586216
cell174	0.12224040093159336
cell175	0.1294094288410147
cell176	0.932687318509067
cell177	0.12626393137419578
cell178	0.1301523513870291
cell179	0.994782671294825
cell180	0.5504951022166397
cell181	0.10913945266098041
cell182	0.12701300911914962
cell183	0.11010334665047328
cell184	0.11433185032456364
cell185	0.12551983315746507
cell186	0.006247443250780213
cell187	0.0025487986033041338
cell188	0.1303427087674299
cell189	0.5751218015159454
cell190	0.13266532325203512
cell191	0.5396279230038996
cell192	0.19295971707634868
cell193	0.12708121002777154
cell194	0.11890390902933012
cell195	0.1296564091851583
cell196	0.131205247475537
cell197	0.08131493406121412
cell198	0.13014361756525344
cell199	0.03408437984475002
cell200	0.1270497423748444
cell201	0.12979509240772644
cell202	0.14004921503153478
cell203	0.12448535698570895
cell204	0.002845565814193511
cell205	0.12108372854885141
cell206	0.04016644588139916
cell207	0.1659001382413539
cell208	0.11283874774714812
cell209	0.12880288123758568
cell210	0.12997683424342635
cell211	0.08745138954106728
cell212	0.12789040759711112
cell213	0.6514225791854193
cell214	0.11672767408954235
cell215	0.13312297242935311
cell216	0.9798770269513783
cell217	0.1323994535672042
cell218	0.12718764339732544
cell219	0.0017331980858430584
cell220	0.10577191106643166
cell221	0.748012424289719
cell222	0.13269184860130687
cell223	0.1127076666549889
cell224	0.5526649728213686
cell225	0.031163815081325603
cell226	0.13014906925479558
cell227	0.1278419017293736
cell228	0.12853156665570198
cell229	0.0062953971323811975
cell230	0.07578208310319173
cell231	0.1449881543761775
cell232	0.962592057912938
cell233	0.11723024975523692
cell234	0.006387354889779979
cell235	0.10543915677313857
cell236	0.1314669463562415
cell237	0.13459707326222636
cell238	0.0032458943183786516
cell239	0.12532472260629593
cell240	0.005597630212541961
cell241	0.13291400686308916
cell242	0.10966372084035078
cell243	0.1545820097842262
cell244	0.12475996958669126
cell245	0.1299271263722244
cell246	0.12304796340549534
cell247	0.11836388265825634
cell248	0.004019351315600311
cell249	0.10647037462672741
cell250	0.08809994992376041
cell251	0.082041895680036
cell252	0.09085749549456479
cell253	0.12728103654882747
cell254	0.13420822737965743
cell255	0.0021874135307297844
cell256	0.06288265430924485
cell257	0.006380841268788781
cell258	0.1061396221264027
cell259	0.08904559229285991
cell260	0.9606437958007318
cell261	0.13247750977367853
cell262	0.11676374597620873
cell263	0.13094974903566625
cell264	0.1298763284460989
cell265	0.12720956496571753
cell266	0.11097766535731383
cell267	0.134331576633496
cell268	0.11294045716733181
cell269	0.11677792233190853
cell270	0.9807775153185894
cell271	0.025941662257970094
cell272	0.13001814800743042
