	0	1	2
cell549	0.4315539300441742	NA	NA
cell550	0.4399985373020172	NA	NA
cell551	0.4434433877468109	NA	NA
cell552	0.5156536102294922	NA	NA
cell553	0.017447711899876595	NA	NA
cell554	0.4691007435321808	NA	NA
cell555	NA	NA	0.9904655814170837
cell556	0.6268478035926819	NA	NA
cell557	0.6267293691635132	NA	NA
cell558	NA	NA	0.9776409864425659
cell559	NA	0.7876272201538086	NA
cell560	0.044108692556619644	NA	NA
cell561	NA	0.6633345484733582	NA
cell562	0.658649206161499	NA	NA
cell563	0.7226297855377197	NA	NA
cell564	0.16778722405433655	NA	NA
cell565	0.044567808508872986	NA	NA
cell566	NA	0.6035125851631165	NA
cell567	0.4537668526172638	NA	NA
cell568	0.9171011447906494	NA	NA
cell569	0.42424243688583374	NA	NA
cell570	0.5861331820487976	NA	NA
cell571	0.035511553287506104	NA	NA
cell572	0.5308347344398499	NA	NA
cell573	0.036357443779706955	NA	NA
cell574	NA	0.7680644989013672	NA
cell575	0.05240405723452568	NA	NA
cell576	0.4649890661239624	NA	NA
cell577	0.021165763959288597	NA	NA
cell578	0.673685610294342	NA	NA
cell579	0.8077496886253357	NA	NA
cell580	0.6611286997795105	NA	NA
cell581	0.5332699418067932	NA	NA
cell582	NA	0.6610114574432373	NA
cell583	0.30304980278015137	NA	NA
cell584	0.7476412057876587	NA	NA
cell585	0.13819986581802368	NA	NA
cell586	0.7470971941947937	NA	NA
cell587	0.569023072719574	NA	NA
cell588	0.3853743374347687	NA	NA
cell589	0.3670652210712433	NA	NA
cell590	0.47902607917785645	NA	NA
cell591	0.3927017152309418	NA	NA
cell592	0.439461350440979	NA	NA
cell593	NA	0.6159693598747253	NA
cell594	0.12185700982809067	NA	NA
cell595	0.5969521999359131	NA	NA
cell596	0.7452470660209656	NA	NA
cell597	0.025017015635967255	NA	NA
cell598	0.4234890043735504	NA	NA
cell599	0.4553506672382355	NA	NA
cell600	0.1293165683746338	NA	NA
cell601	NA	0.5964006781578064	NA
cell602	0.7152867913246155	NA	NA
cell603	NA	0.5893964767456055	NA
cell604	0.033707261085510254	NA	NA
cell605	0.5067891478538513	NA	NA
cell606	0.16539420187473297	NA	NA
cell607	0.541452944278717	NA	NA
cell608	0.6678711771965027	NA	NA
cell609	0.461311399936676	NA	NA
cell610	0.5957459211349487	NA	NA
cell611	NA	0.6542192101478577	NA
cell612	0.7733045220375061	NA	NA
cell613	0.03446783125400543	NA	NA
cell614	0.9396557211875916	NA	NA
cell615	0.3755875825881958	NA	NA
cell616	0.18464821577072144	NA	NA
cell617	0.782715380191803	NA	NA
cell618	0.49784523248672485	NA	NA
cell619	0.7964141964912415	NA	NA
cell620	0.4914909303188324	NA	NA
cell621	0.42595764994621277	NA	NA
cell622	0.003942057024687529	NA	NA
cell623	0.05274360999464989	NA	NA
cell624	0.5398061871528625	NA	NA
cell625	0.7948244214057922	NA	NA
cell626	0.4656824469566345	NA	NA
cell627	0.396467924118042	NA	NA
cell628	0.17269542813301086	NA	NA
cell629	0.5485318899154663	NA	NA
cell630	0.03456518054008484	NA	NA
cell631	0.20599767565727234	NA	NA
cell632	0.45741528272628784	NA	NA
cell633	0.48150843381881714	NA	NA
cell634	0.46263882517814636	NA	NA
cell635	NA	0.5362666845321655	NA
cell636	0.4402514100074768	NA	NA
cell637	0.5077607035636902	NA	NA
cell638	0.8108398914337158	NA	NA
cell639	0.2845627963542938	NA	NA
cell640	0.5122971534729004	NA	NA
cell641	0.44931304454803467	NA	NA
cell642	0.3656497895717621	NA	NA
