,n_meta,dataset,kt
192,40,2,0.8506778382150078
193,40,2,0.6939725713724746
194,40,2,0.8489883086474823
195,40,2,0.3370291696778946
196,40,2,0.7802419907748968
197,40,2,0.8369685928794905
198,40,2,0.6610599398657708
199,40,2,0.7347377056989938
200,200,2,0.8699520304330046
201,200,2,0.7990546656386774
202,200,2,0.6574432237803244
203,200,2,0.8467853383847459
204,200,2,0.8678408733888434
205,200,2,0.8597192491143102
206,200,2,0.862511056275348
207,200,2,0.8396454621376652
208,200,2,0.8619014238232249
209,200,2,0.7614695650036508
210,200,2,0.8766423902333446
211,200,2,0.8693668016082676
212,200,2,0.6690938547769999
213,200,2,0.7374765936172935
214,200,2,0.8932455556824435
215,200,2,0.865940403250859
216,200,2,0.6952825927661763
217,200,2,0.6706013562368548
218,200,2,0.8741915199887403
219,200,2,0.7761482644293675
220,200,2,0.3575148418975532
221,200,2,0.8661735206698206
222,200,2,0.8652006250572207
223,200,2,0.7601910024769929
224,200,2,0.806274959839367
225,200,2,0.8853047424275876
226,200,2,0.7420818489530899
227,200,2,0.7543721431609501
228,200,2,0.8301530456787467
229,200,2,0.6214975935168846
230,200,2,0.8790038716155166
231,200,2,0.8474298097250939
232,200,2,0.7682196798050811
233,200,2,0.5728681856586426
234,200,2,0.7872657865922499
235,200,2,0.8576493414484256
236,200,2,0.8960586693787924
237,200,2,0.7248251878036831
238,200,2,0.7803611172305112
239,200,2,0.8941670938916072
240,200,2,0.712526718355091
241,200,2,0.875095279735757
242,200,2,0.8898283841656908
243,200,2,0.866482885988988
244,200,2,0.3015644259384671
245,200,2,0.8729307113089443
246,200,2,0.8771006893200654
247,200,2,0.8506406312309106
248,200,2,0.8711777373855546
249,200,2,0.3511930589978232
250,200,2,0.8076910991952562
251,200,2,0.8715893768775668
252,200,2,0.8690413012025558
253,200,2,0.8663685846555851
254,200,2,0.851072976063438
255,200,2,0.7547393295112396
256,200,2,0.8211035991883218
257,200,2,0.826767674078372
258,200,2,0.8116336320512044
259,200,2,0.677509303672358
260,500,2,0.6835537364293907
261,500,2,0.31660569235726704
262,500,2,0.8353544325242275
263,500,2,0.6635681287794657
264,500,2,0.8370900235033114
265,500,2,0.711683563212927
266,500,2,0.46151884144517075
267,500,2,0.38564404434883326
268,500,2,0.3728995181673727
269,500,2,0.8194359145720611
270,500,2,0.8543593409521141
271,500,2,0.8676474353081521
272,500,2,0.8474359890174487
273,500,2,0.8300808699810605
274,500,2,0.3088398980739435
