,scaling,dataset,kt
82,2,1,0.7952074150829933
83,2,1,0.8293273900050618
84,2,1,0.8071478591266159
85,2,1,0.8297868614631896
86,2,1,0.702037471848611
87,2,1,0.8445915209201271
88,2,1,0.8033339193280438
89,2,1,0.8807199067118411
90,2,1,0.8225162928209366
91,2,1,0.6635143804240374
92,2,1,0.7300596768825006
93,2,1,0.7919891465608991
94,2,1,0.8203872013481969
95,2,1,0.7852156532142617
96,2,1,0.8453244839630129
97,2,1,0.6888322034811927
98,2,1,0.7872873053006196
99,2,1,0.8267571408443183
100,2,1,0.380973099849086
101,2,1,0.8120806062160704
102,2,1,0.8287600949339297
103,2,1,0.740101530724184
104,2,1,0.6567673217753657
105,2,1,0.8034435949367357
106,2,1,0.7521530525582643
107,2,1,0.8325640881692268
108,2,1,0.8234423202368366
109,2,1,0.7635428326317625
110,2,1,0.7302064326222859
111,2,1,0.8236883812988512
112,2,1,0.8174786245666796
113,2,1,0.7757453500959185
114,2,1,0.8311526976900303
115,2,1,0.7569525621510883
116,2,1,0.6809060000341608
117,2,1,0.8177541277755281
118,2,1,0.6389500584340608
119,2,1,0.8117259033063446
120,3,1,0.8410000146098501
121,3,1,0.793021002761488
122,3,1,0.7473754340233105
123,3,1,0.7827393626602333
124,3,1,0.8244667675523921
125,3,1,0.7343942889200893
126,3,1,0.8333983052750901
127,3,1,0.749969239672802
128,3,1,0.734340063000999
129,3,1,0.8288332547909125
130,3,1,0.830197011664991
131,3,1,0.8228264186176251
132,3,1,0.8155154439650201
133,3,1,0.7622837185877851
134,3,1,0.8793760832932169
135,3,1,0.8181494336070227
136,3,1,0.8509778506530784
137,3,1,0.818471535343489
138,3,1,0.8328350637450908
139,3,1,0.6903117185778199
140,3,1,0.7760874546739935
141,3,1,0.8289986391875579
142,3,1,0.7713941195652683
143,3,1,0.8365577630209388
144,3,1,0.8212159789165644
145,3,1,0.7145398931076072
146,3,1,0.697322008727413
147,3,1,0.8295940585153777
148,3,1,0.763130956138137
149,3,1,0.8131528788362371
150,3,1,0.8725340598184776
151,3,1,0.7613185265492892
152,3,1,0.8159172404011277
153,3,1,0.8571542376227331
154,3,1,0.8699905111433174
155,3,1,0.817447317083487
156,3,1,0.838535488220691
157,3,1,0.8040171870007684
158,3,1,0.7527993347296495
159,3,1,0.8447023715052276
160,3,1,0.7970909761856585
161,3,1,0.8186565289266169
162,3,1,0.8417888262344095
163,3,1,0.775257196509159
164,3,1,0.7034436455423098
165,3,1,0.7555784880545362
166,3,1,0.8209870659860347
167,3,1,0.845995156528346
168,3,1,0.8617631359777206
169,3,1,0.7975313469175369
170,3,1,0.7761837118588365
171,3,1,0.802182258446792
172,3,1,0.840936510982602
173,3,1,0.8320343125911812
174,3,1,0.8150265297335815
175,3,1,0.7127105570448775
176,3,1,0.6731348751701979
177,3,1,0.8056874963886935
178,3,1,0.8070718504060882
179,3,1,0.7859841739768745
180,4,1,0.8400391757285378
181,4,1,0.7959429386652096
182,4,1,0.7470719912717989
183,4,1,0.8332338526020624
184,4,1,0.7881302584928992
185,4,1,0.8054168710433157
186,4,1,0.8738578798021854
187,4,1,0.8205685446820078
188,4,1,0.7774524868989068
189,4,1,0.8725758844604219
190,4,1,0.8633030570779678
191,4,1,0.8744983809495196
192,4,1,0.8461888159213307
