	4_8	4_7	cycle_1	1_2	3_5	3_6	cycle_2	cycle_3
168	NA	NA	0.11512130498886108	NA	NA	NA	NA	NA
169	NA	NA	0.11492224782705307	NA	NA	NA	NA	NA
170	NA	NA	0.10985984653234482	NA	NA	NA	NA	NA
171	NA	NA	0.10230918228626251	NA	NA	NA	NA	NA
172	NA	NA	0.10317454487085342	NA	NA	NA	NA	NA
173	NA	NA	0.10352136194705963	NA	NA	NA	NA	NA
174	NA	NA	0.09811681509017944	NA	NA	NA	NA	NA
175	NA	NA	0.10200770944356918	NA	NA	NA	NA	NA
176	NA	NA	0.10551033914089203	NA	NA	NA	NA	NA
177	NA	NA	0.10832399874925613	NA	NA	NA	NA	NA
178	NA	NA	0.10905072838068008	NA	NA	NA	NA	NA
179	NA	NA	0.1071314662694931	NA	NA	NA	NA	NA
180	NA	NA	0.09367719292640686	NA	NA	NA	NA	NA
181	NA	NA	0.09256498515605927	NA	NA	NA	NA	NA
182	NA	NA	0.09187456965446472	NA	NA	NA	NA	NA
183	NA	NA	0.07401372492313385	NA	NA	NA	NA	NA
184	NA	NA	0.05211414769291878	NA	NA	NA	NA	NA
185	NA	NA	0.046753156930208206	NA	NA	NA	NA	NA
186	NA	NA	0.04749792814254761	NA	NA	NA	NA	NA
187	NA	NA	0.043877772986888885	NA	NA	NA	NA	NA
188	NA	NA	0.041004229336977005	NA	NA	NA	NA	NA
189	NA	NA	0.02522391825914383	NA	NA	NA	NA	NA
190	NA	NA	0.022944388911128044	NA	NA	NA	NA	NA
191	NA	NA	0.01877368614077568	NA	NA	NA	NA	NA
192	NA	NA	0.0	NA	NA	NA	NA	NA
193	NA	NA	0.0020880126394331455	NA	NA	NA	NA	NA
194	NA	NA	0.00268171401694417	NA	NA	NA	NA	NA
195	NA	NA	0.004934370052069426	NA	NA	NA	NA	NA
196	NA	NA	0.004056810401380062	NA	NA	NA	NA	NA
197	NA	NA	0.004649875219911337	NA	NA	NA	NA	NA
198	NA	NA	0.00637035770341754	NA	NA	NA	NA	NA
199	NA	NA	0.0038962005637586117	NA	NA	NA	NA	NA
200	NA	NA	0.0102993194013834	NA	NA	NA	NA	NA
201	NA	NA	0.01313748862594366	NA	NA	NA	NA	NA
202	NA	NA	0.015333849005401134	NA	NA	NA	NA	NA
203	NA	NA	0.013424164615571499	NA	NA	NA	NA	NA
204	NA	NA	0.023090140894055367	NA	NA	NA	NA	NA
205	NA	NA	0.020724095404148102	NA	NA	NA	NA	NA
206	NA	NA	0.01907956600189209	NA	NA	NA	NA	NA
207	NA	NA	0.01818086951971054	NA	NA	NA	NA	NA
208	NA	NA	0.016129260882735252	NA	NA	NA	NA	NA
209	NA	NA	0.009005890227854252	NA	NA	NA	NA	NA
210	NA	NA	0.009364374913275242	NA	NA	NA	NA	NA
211	NA	NA	0.009946283884346485	NA	NA	NA	NA	NA
212	NA	NA	0.010060669854283333	NA	NA	NA	NA	NA
213	NA	NA	0.011943412013351917	NA	NA	NA	NA	NA
214	NA	NA	0.014205661602318287	NA	NA	NA	NA	NA
215	NA	NA	0.018255043774843216	NA	NA	NA	NA	NA
216	NA	NA	0.02191305160522461	NA	NA	NA	NA	NA
217	NA	NA	0.022604860365390778	NA	NA	NA	NA	NA
218	NA	NA	0.029349369928240776	NA	NA	NA	NA	NA
219	NA	NA	NA	NA	NA	NA	NA	0.03792192041873932
220	NA	NA	NA	NA	NA	NA	NA	0.03886052221059799
221	NA	NA	NA	NA	NA	NA	NA	0.04973587021231651
222	NA	NA	NA	NA	NA	NA	NA	0.04445309564471245
223	NA	NA	NA	NA	NA	NA	NA	0.04892227053642273
224	NA	NA	NA	NA	NA	NA	NA	0.057391636073589325
225	NA	NA	NA	NA	NA	NA	NA	0.06867758184671402
226	NA	NA	NA	NA	NA	NA	NA	0.07089649885892868
227	NA	NA	NA	NA	NA	NA	NA	0.0633217990398407
228	NA	NA	NA	NA	NA	NA	NA	0.06215301528573036
229	NA	NA	NA	NA	NA	NA	NA	0.060784969478845596
230	NA	NA	NA	NA	NA	NA	NA	0.06700538098812103
231	NA	NA	NA	NA	NA	NA	NA	0.07120351493358612
232	NA	NA	NA	NA	NA	NA	NA	0.07048436254262924
233	NA	NA	NA	NA	NA	NA	NA	0.07773874700069427
234	NA	NA	NA	NA	NA	NA	NA	0.08068324625492096
235	NA	NA	NA	NA	NA	NA	NA	0.08196895569562912
236	NA	NA	NA	NA	NA	NA	NA	0.09541154652833939
237	NA	NA	NA	NA	NA	NA	NA	0.11522631347179413
238	NA	NA	NA	NA	NA	NA	NA	0.11557162553071976
239	NA	NA	NA	NA	NA	NA	NA	0.1143789291381836
240	NA	NA	NA	NA	NA	NA	NA	0.11246907711029053
241	NA	NA	NA	NA	NA	NA	NA	0.11479058861732483
242	NA	NA	NA	NA	NA	NA	NA	0.11181242018938065
243	NA	NA	NA	NA	NA	NA	NA	0.11321976035833359
244	NA	NA	NA	NA	NA	NA	NA	0.12270881980657578
245	NA	NA	NA	NA	NA	NA	NA	0.12715193629264832
246	NA	NA	NA	NA	NA	NA	NA	0.1234770119190216
247	NA	NA	NA	NA	NA	NA	NA	0.1253538280725479
248	NA	NA	NA	NA	NA	NA	NA	0.12797492742538452
249	NA	NA	NA	NA	NA	NA	NA	0.12718883156776428
250	NA	NA	NA	NA	NA	NA	NA	0.11918069422245026
251	NA	NA	NA	NA	NA	NA	NA	0.11935412883758545
252	NA	NA	NA	NA	NA	NA	NA	0.11807309091091156
253	NA	NA	NA	NA	NA	NA	NA	0.11704417318105698
254	NA	NA	NA	NA	NA	NA	NA	0.12701690196990967
255	NA	NA	NA	NA	NA	NA	NA	0.13077887892723083
256	NA	NA	NA	NA	NA	NA	NA	0.1385265588760376
257	NA	NA	NA	NA	NA	NA	NA	0.14013859629631042
258	NA	NA	NA	NA	NA	NA	NA	0.14327536523342133
259	NA	NA	NA	NA	NA	NA	NA	0.14460115134716034
260	NA	NA	NA	NA	NA	NA	NA	0.14318345487117767
261	NA	NA	NA	NA	NA	NA	NA	0.14570631086826324
262	NA	NA	NA	NA	NA	NA	0.14543092250823975	NA
263	NA	NA	NA	NA	NA	NA	NA	0.148179292678833
264	NA	NA	NA	NA	NA	NA	0.15555188059806824	NA
265	NA	NA	NA	NA	NA	NA	0.15871983766555786	NA
266	NA	NA	NA	NA	NA	NA	NA	0.15744897723197937
267	NA	NA	NA	NA	NA	NA	NA	0.15979857742786407
268	NA	NA	NA	NA	NA	NA	0.16684837639331818	NA
269	NA	NA	NA	NA	NA	NA	0.17335525155067444	NA
270	NA	NA	NA	NA	NA	NA	0.17624783515930176	NA
271	NA	NA	NA	NA	NA	NA	0.17841145396232605	NA
272	NA	NA	NA	NA	NA	NA	0.17942927777767181	NA
273	NA	NA	NA	NA	NA	NA	0.17679502069950104	NA
274	NA	NA	NA	NA	NA	NA	0.1753508597612381	NA
275	NA	NA	NA	NA	NA	NA	0.17547330260276794	NA
276	NA	NA	NA	NA	NA	NA	0.17862287163734436	NA
277	NA	NA	NA	NA	NA	NA	0.17996758222579956	NA
278	NA	NA	NA	NA	NA	NA	0.18077397346496582	NA
279	NA	NA	NA	NA	NA	NA	0.17993515729904175	NA
280	NA	NA	NA	NA	NA	NA	0.18393491208553314	NA
281	NA	NA	NA	NA	NA	NA	0.185860738158226	NA
282	NA	NA	NA	NA	NA	NA	0.18599200248718262	NA
283	NA	NA	NA	NA	NA	NA	0.18693694472312927	NA
284	NA	NA	NA	NA	NA	NA	0.18563665449619293	NA
285	NA	NA	NA	NA	NA	NA	0.18517455458641052	NA
286	NA	NA	NA	NA	NA	NA	0.17979596555233002	NA
287	NA	NA	NA	NA	NA	NA	0.17746083438396454	NA
288	NA	NA	NA	NA	NA	NA	0.17984148859977722	NA
289	NA	NA	NA	0.18372832238674164	NA	NA	NA	NA
290	NA	NA	NA	NA	NA	NA	0.18116815388202667	NA
291	NA	NA	NA	NA	NA	NA	0.18254490196704865	NA
292	NA	NA	NA	NA	NA	NA	0.18779705464839935	NA
293	NA	NA	NA	NA	NA	NA	0.1925150454044342	NA
294	NA	NA	NA	NA	NA	NA	0.19084544479846954	NA
295	NA	NA	NA	NA	NA	NA	0.19414980709552765	NA
296	NA	NA	NA	NA	NA	NA	0.19759893417358398	NA
297	NA	NA	NA	NA	NA	NA	0.19836391508579254	NA
298	NA	NA	NA	NA	NA	NA	0.1986112892627716	NA
299	NA	NA	NA	NA	NA	NA	0.1977413296699524	NA
300	0.39294251799583435	NA	NA	NA	NA	NA	NA	NA
301	NA	NA	0.16789349913597107	NA	NA	NA	NA	NA
302	NA	NA	NA	NA	NA	NA	0.1856819987297058	NA
303	NA	NA	NA	NA	NA	NA	0.19847841560840607	NA
304	NA	NA	NA	NA	NA	NA	0.207097128033638	NA
305	NA	NA	NA	0.22412562370300293	NA	NA	NA	NA
306	NA	NA	NA	0.224973663687706	NA	NA	NA	NA
307	NA	NA	NA	0.2273978888988495	NA	NA	NA	NA
308	NA	NA	NA	0.23153243958950043	NA	NA	NA	NA
309	NA	NA	NA	0.22812029719352722	NA	NA	NA	NA
310	NA	NA	NA	NA	NA	NA	0.2251884937286377	NA
311	NA	NA	NA	NA	NA	NA	0.24035048484802246	NA
312	NA	NA	NA	NA	NA	NA	0.2446892410516739	NA
313	NA	NA	NA	NA	NA	NA	0.25018200278282166	NA
314	NA	NA	NA	0.26008251309394836	NA	NA	NA	NA
315	NA	NA	NA	0.2645535469055176	NA	NA	NA	NA
316	NA	NA	NA	0.2668968141078949	NA	NA	NA	NA
317	NA	NA	NA	NA	NA	NA	0.26653409004211426	NA
318	NA	NA	NA	0.2656761407852173	NA	NA	NA	NA
319	NA	NA	NA	NA	NA	NA	0.2664453685283661	NA
320	NA	NA	NA	NA	NA	NA	0.2630285918712616	NA
321	NA	NA	NA	NA	NA	NA	0.2588133215904236	NA
322	NA	NA	NA	NA	NA	NA	0.23936328291893005	NA
323	NA	NA	NA	NA	NA	NA	0.2420169562101364	NA
324	NA	NA	NA	NA	NA	NA	0.24302461743354797	NA
325	NA	NA	NA	0.24631188809871674	NA	NA	NA	NA
326	NA	NA	NA	NA	NA	NA	0.2546417713165283	NA
327	NA	NA	NA	NA	NA	NA	0.2581079602241516	NA
328	NA	NA	NA	0.2604215741157532	NA	NA	NA	NA
329	NA	NA	NA	0.26927632093429565	NA	NA	NA	NA
330	NA	NA	NA	0.2726159393787384	NA	NA	NA	NA
331	NA	NA	NA	0.2808793783187866	NA	NA	NA	NA
332	NA	NA	NA	0.29395800828933716	NA	NA	NA	NA
333	NA	NA	NA	0.30355316400527954	NA	NA	NA	NA
334	NA	NA	NA	0.3280637860298157	NA	NA	NA	NA
335	NA	NA	NA	0.3340872526168823	NA	NA	NA	NA
336	NA	NA	NA	0.3327166736125946	NA	NA	NA	NA
337	NA	NA	NA	0.3363407254219055	NA	NA	NA	NA
338	NA	NA	NA	0.34011441469192505	NA	NA	NA	NA
339	NA	NA	NA	0.34248605370521545	NA	NA	NA	NA
340	NA	NA	NA	0.350362092256546	NA	NA	NA	NA
341	NA	NA	NA	0.3532353341579437	NA	NA	NA	NA
342	NA	NA	NA	0.36537131667137146	NA	NA	NA	NA
343	NA	NA	NA	0.3622685968875885	NA	NA	NA	NA
344	NA	NA	NA	0.3706563711166382	NA	NA	NA	NA
345	NA	NA	NA	0.37276971340179443	NA	NA	NA	NA
346	NA	NA	NA	0.37731218338012695	NA	NA	NA	NA
347	NA	NA	NA	0.3796679973602295	NA	NA	NA	NA
348	NA	NA	NA	0.36780741810798645	NA	NA	NA	NA
349	NA	NA	NA	0.3670505881309509	NA	NA	NA	NA
350	NA	NA	NA	0.37709522247314453	NA	NA	NA	NA
351	NA	NA	NA	0.38008037209510803	NA	NA	NA	NA
352	NA	NA	NA	0.3756881356239319	NA	NA	NA	NA
353	NA	NA	NA	0.37884002923965454	NA	NA	NA	NA
354	NA	NA	NA	0.38104671239852905	NA	NA	NA	NA
355	NA	NA	NA	0.37925681471824646	NA	NA	NA	NA
356	NA	NA	NA	0.38770735263824463	NA	NA	NA	NA
357	NA	NA	NA	0.3965420424938202	NA	NA	NA	NA
358	NA	NA	NA	0.40149983763694763	NA	NA	NA	NA
359	NA	NA	NA	0.4110804498195648	NA	NA	NA	NA
360	NA	NA	NA	0.41425222158432007	NA	NA	NA	NA
361	NA	NA	NA	0.4327622354030609	NA	NA	NA	NA
362	NA	NA	NA	0.44207900762557983	NA	NA	NA	NA
363	NA	NA	NA	0.44067636132240295	NA	NA	NA	NA
364	NA	NA	NA	0.4387172758579254	NA	NA	NA	NA
365	NA	NA	NA	0.44167643785476685	NA	NA	NA	NA
366	NA	NA	NA	0.44897302985191345	NA	NA	NA	NA
367	NA	NA	NA	0.4601718485355377	NA	NA	NA	NA
368	NA	NA	NA	0.4639119505882263	NA	NA	NA	NA
369	NA	NA	NA	0.4643367528915405	NA	NA	NA	NA
370	NA	NA	NA	0.4466157853603363	NA	NA	NA	NA
371	NA	NA	NA	0.4447494447231293	NA	NA	NA	NA
372	NA	NA	NA	0.440491259098053	NA	NA	NA	NA
373	NA	NA	NA	0.4370434880256653	NA	NA	NA	NA
374	NA	NA	NA	0.4482046067714691	NA	NA	NA	NA
375	NA	NA	NA	0.44921278953552246	NA	NA	NA	NA
376	NA	NA	NA	0.4584665596485138	NA	NA	NA	NA
377	NA	NA	NA	0.46469011902809143	NA	NA	NA	NA
378	NA	NA	NA	0.4658341705799103	NA	NA	NA	NA
379	NA	NA	NA	0.45724502205848694	NA	NA	NA	NA
380	NA	NA	NA	0.4603566825389862	NA	NA	NA	NA
381	NA	NA	NA	0.4550451934337616	NA	NA	NA	NA
382	NA	NA	NA	0.46016520261764526	NA	NA	NA	NA
383	NA	NA	NA	0.46385249495506287	NA	NA	NA	NA
384	NA	NA	NA	0.4885481894016266	NA	NA	NA	NA
385	NA	NA	NA	0.49538454413414	NA	NA	NA	NA
386	NA	NA	NA	0.5058733820915222	NA	NA	NA	NA
387	NA	NA	NA	0.5087389945983887	NA	NA	NA	NA
388	NA	NA	NA	0.5126203298568726	NA	NA	NA	NA
389	NA	NA	NA	0.5213174819946289	NA	NA	NA	NA
390	NA	NA	NA	0.5246915817260742	NA	NA	NA	NA
391	NA	NA	NA	0.5272400379180908	NA	NA	NA	NA
392	NA	NA	NA	NA	NA	0.5277494788169861	NA	NA
393	NA	NA	NA	0.5313533544540405	NA	NA	NA	NA
394	NA	NA	NA	NA	NA	0.5314374566078186	NA	NA
395	NA	NA	NA	0.537236750125885	NA	NA	NA	NA
396	NA	NA	NA	0.5298669338226318	NA	NA	NA	NA
397	NA	NA	NA	0.5294055938720703	NA	NA	NA	NA
398	NA	NA	NA	0.5288570523262024	NA	NA	NA	NA
399	NA	NA	NA	0.5280790328979492	NA	NA	NA	NA
400	NA	NA	NA	0.5273686647415161	NA	NA	NA	NA
401	NA	NA	NA	NA	NA	0.5503551363945007	NA	NA
402	NA	NA	NA	NA	0.5783121585845947	NA	NA	NA
403	NA	NA	NA	NA	NA	0.598544180393219	NA	NA
404	NA	NA	NA	NA	NA	0.595244824886322	NA	NA
405	NA	NA	NA	NA	NA	0.5977502465248108	NA	NA
406	NA	NA	NA	NA	NA	0.603959321975708	NA	NA
407	NA	NA	NA	NA	NA	0.6098926663398743	NA	NA
408	NA	NA	NA	NA	NA	0.6053986549377441	NA	NA
409	NA	NA	NA	NA	NA	0.6045835614204407	NA	NA
410	NA	NA	NA	NA	NA	0.6076224446296692	NA	NA
411	NA	NA	NA	NA	NA	0.603579044342041	NA	NA
412	NA	NA	NA	NA	NA	0.6055666208267212	NA	NA
413	NA	NA	NA	NA	NA	0.5977245569229126	NA	NA
414	NA	NA	NA	NA	NA	0.5913134217262268	NA	NA
415	NA	NA	NA	0.5840310454368591	NA	NA	NA	NA
416	NA	NA	NA	0.5643138289451599	NA	NA	NA	NA
417	NA	NA	NA	0.5611281394958496	NA	NA	NA	NA
418	NA	NA	NA	0.5594854950904846	NA	NA	NA	NA
419	NA	NA	NA	0.5620430707931519	NA	NA	NA	NA
420	NA	NA	NA	0.5630120635032654	NA	NA	NA	NA
421	NA	NA	NA	0.566785991191864	NA	NA	NA	NA
422	NA	NA	NA	NA	0.5741404891014099	NA	NA	NA
423	NA	NA	NA	NA	0.607195258140564	NA	NA	NA
424	NA	NA	NA	NA	0.6267319321632385	NA	NA	NA
425	NA	NA	NA	NA	0.639801561832428	NA	NA	NA
426	NA	NA	NA	NA	0.6524202823638916	NA	NA	NA
427	NA	NA	NA	NA	0.6646372675895691	NA	NA	NA
428	NA	NA	NA	NA	0.6807851195335388	NA	NA	NA
429	NA	NA	NA	NA	0.6827108263969421	NA	NA	NA
430	NA	NA	NA	NA	0.6848112940788269	NA	NA	NA
431	NA	NA	NA	NA	0.6887316107749939	NA	NA	NA
432	NA	NA	NA	NA	0.6857584118843079	NA	NA	NA
433	NA	NA	NA	NA	NA	0.6870668530464172	NA	NA
434	NA	NA	NA	NA	0.6807804703712463	NA	NA	NA
435	NA	NA	NA	NA	NA	0.6845453977584839	NA	NA
436	NA	NA	NA	NA	0.684196949005127	NA	NA	NA
437	NA	NA	NA	0.439456582069397	NA	NA	NA	NA
438	NA	NA	NA	0.4415570795536041	NA	NA	NA	NA
439	NA	NA	NA	0.4458618462085724	NA	NA	NA	NA
440	NA	NA	NA	0.4490606486797333	NA	NA	NA	NA
441	NA	NA	NA	0.45683199167251587	NA	NA	NA	NA
442	NA	NA	NA	0.4596191346645355	NA	NA	NA	NA
443	NA	NA	NA	0.4631669521331787	NA	NA	NA	NA
