	3_5	3_6	4_7	cycle
233	NA	NA	NA	0.24171671271324158
234	NA	NA	NA	0.23711873590946198
235	NA	NA	NA	0.23637908697128296
236	NA	NA	NA	0.2382923811674118
237	NA	NA	NA	0.23944634199142456
238	NA	NA	NA	0.23721551895141602
239	NA	NA	NA	0.23653970658779144
240	NA	NA	NA	0.23447546362876892
241	NA	NA	NA	0.23334908485412598
242	NA	NA	NA	0.2295863926410675
243	NA	NA	NA	0.22444364428520203
244	NA	NA	NA	0.2276977151632309
245	NA	NA	NA	0.2256404459476471
246	NA	NA	NA	0.21693119406700134
247	NA	NA	NA	0.21729469299316406
248	NA	NA	NA	0.207627534866333
249	NA	NA	NA	0.2031664401292801
250	NA	NA	NA	0.20286937057971954
251	NA	NA	NA	0.2027096301317215
252	NA	NA	NA	0.2005857527256012
253	NA	NA	NA	0.1987287849187851
254	NA	NA	NA	0.19835031032562256
255	NA	NA	NA	0.191714346408844
256	NA	NA	NA	0.19018927216529846
257	NA	NA	NA	0.1860521137714386
258	NA	NA	NA	0.1845880001783371
259	NA	NA	NA	0.18079368770122528
260	NA	NA	NA	0.1798471212387085
261	NA	NA	NA	0.17796333134174347
262	NA	NA	NA	0.17710264027118683
263	NA	NA	NA	0.17461258172988892
264	NA	NA	NA	0.166615292429924
265	NA	NA	NA	0.16266876459121704
266	NA	NA	NA	0.1609555333852768
267	NA	NA	NA	0.15558363497257233
268	NA	NA	NA	0.17064470052719116
269	NA	NA	NA	0.17757530510425568
270	NA	NA	NA	0.17766828835010529
271	NA	NA	NA	0.17043088376522064
272	NA	NA	NA	0.16933955252170563
273	NA	NA	NA	0.16894443333148956
274	NA	NA	NA	0.16758416593074799
275	NA	NA	NA	0.16355229914188385
276	NA	NA	NA	0.15707972645759583
277	NA	NA	NA	0.146898552775383
278	NA	NA	NA	0.16492120921611786
279	NA	NA	NA	0.17029768228530884
280	NA	NA	NA	0.16941231489181519
281	NA	NA	NA	0.16977107524871826
282	NA	NA	NA	0.16810432076454163
283	NA	NA	NA	0.1647244542837143
284	NA	NA	NA	0.1626153588294983
285	NA	NA	NA	0.15055446326732635
286	NA	NA	NA	0.1454964280128479
287	NA	NA	NA	0.1372794508934021
288	NA	NA	NA	0.13123202323913574
289	NA	NA	NA	0.12472537904977798
290	NA	NA	NA	0.1176137775182724
291	NA	NA	NA	0.11727922409772873
292	NA	NA	NA	0.0996955931186676
293	NA	NA	NA	0.09635140746831894
294	NA	NA	NA	0.08236253261566162
295	NA	NA	NA	0.06689442694187164
296	NA	NA	NA	0.06305934488773346
297	NA	NA	NA	0.06853317469358444
298	NA	NA	NA	0.07427215576171875
299	NA	NA	NA	0.0689704418182373
300	NA	NA	0.27819788455963135	NA
301	NA	NA	NA	0.1247907429933548
302	NA	NA	NA	0.08669322729110718
303	NA	NA	NA	0.08329732716083527
304	NA	NA	NA	0.08087607473134995
305	NA	NA	NA	0.08375906944274902
306	NA	NA	NA	0.09757834672927856
307	NA	NA	NA	0.10347802191972733
308	NA	NA	NA	0.09869597107172012
309	NA	NA	NA	0.08393412828445435
310	NA	NA	NA	0.0906556099653244
311	NA	NA	NA	0.10595045983791351
312	NA	NA	0.12943261861801147	NA
313	NA	NA	NA	0.13095755875110626
314	NA	NA	0.13149920105934143	NA
315	NA	NA	0.13675828278064728	NA
316	NA	NA	0.137429341673851	NA
317	NA	NA	0.13793838024139404	NA
318	NA	NA	0.13950228691101074	NA
319	NA	NA	0.14680145680904388	NA
320	NA	NA	0.15168876945972443	NA
