	4_8	3_6	cycle
123	NA	NA	0.19978241622447968
124	NA	NA	0.20140965282917023
125	NA	NA	0.19693462550640106
126	NA	NA	0.18480032682418823
127	NA	NA	0.17844146490097046
128	NA	NA	0.17339293658733368
129	NA	NA	0.16662345826625824
130	NA	NA	0.16326339542865753
131	NA	NA	0.1601533740758896
132	NA	NA	0.1575039029121399
133	NA	NA	0.1524624228477478
134	NA	NA	0.1544027477502823
135	NA	NA	0.15971048176288605
136	NA	NA	0.1626831442117691
137	NA	NA	0.16973191499710083
138	NA	NA	0.1700553148984909
139	NA	NA	0.17096847295761108
140	NA	NA	0.17143024504184723
141	NA	NA	0.17159636318683624
142	NA	NA	0.1673506200313568
143	NA	NA	0.16493573784828186
144	NA	NA	0.16389545798301697
145	NA	NA	0.15944859385490417
146	NA	NA	0.1589309126138687
147	NA	NA	0.1540222316980362
148	NA	NA	0.1555873304605484
149	NA	NA	0.15393075346946716
150	NA	NA	0.14038057625293732
151	NA	NA	0.13981013000011444
152	NA	NA	0.13577724993228912
153	NA	NA	0.13434240221977234
154	NA	NA	0.12317229807376862
155	NA	NA	0.12181098014116287
156	NA	NA	0.10863552242517471
157	NA	NA	0.10997696965932846
158	NA	NA	0.10674261301755905
159	NA	NA	0.10220306366682053
160	NA	NA	0.09532087296247482
161	NA	NA	0.09311248362064362
162	NA	NA	0.08873829245567322
163	NA	NA	0.08357325941324234
164	NA	NA	0.08161073923110962
165	NA	NA	0.07743678241968155
166	NA	NA	0.07696976512670517
167	NA	NA	0.07144101709127426
168	NA	NA	0.07577888667583466
169	NA	NA	0.07566988468170166
170	NA	NA	0.07242439687252045
171	NA	NA	0.07157132774591446
172	NA	NA	0.07104852795600891
173	NA	NA	0.07616457343101501
174	NA	NA	0.07398375123739243
175	NA	NA	0.08253665268421173
176	NA	NA	0.08055053651332855
177	NA	NA	0.07451921701431274
178	NA	NA	0.06981293857097626
179	NA	NA	0.06319469958543777
180	NA	NA	0.06175171956419945
181	NA	NA	0.05801746994256973
182	NA	NA	0.05252072215080261
183	NA	NA	0.04659881815314293
184	NA	NA	0.041518066078424454
185	NA	NA	0.024515362456440926
186	NA	NA	0.023022904992103577
187	NA	NA	0.003966995514929295
188	NA	NA	0.004027075599879026
189	NA	NA	0.0
190	NA	NA	0.004177904687821865
191	NA	NA	0.01093278732150793
192	NA	NA	0.025680989027023315
193	NA	NA	0.02854560874402523
194	NA	NA	0.04021811857819557
195	NA	NA	0.04062074422836304
196	NA	NA	0.05102645605802536
197	NA	NA	0.05253069847822189
198	NA	NA	0.057420048862695694
199	NA	NA	0.05965772643685341
200	NA	NA	0.056080467998981476
201	NA	NA	0.05647624284029007
202	NA	NA	0.05348742753267288
