	4_8	4_7	3_5	3_6	cycle_1	cycle_2	cycle_3
103	NA	NA	NA	NA	0.2121482491493225	NA	NA
104	NA	NA	NA	NA	0.2064695954322815	NA	NA
105	NA	NA	NA	NA	0.20918947458267212	NA	NA
106	NA	NA	NA	NA	0.20917928218841553	NA	NA
107	NA	NA	NA	NA	0.21732981503009796	NA	NA
108	NA	NA	NA	NA	0.21452294290065765	NA	NA
109	NA	NA	NA	NA	0.2172245979309082	NA	NA
110	NA	NA	NA	NA	0.21864432096481323	NA	NA
111	NA	NA	NA	NA	0.2164880484342575	NA	NA
112	NA	NA	NA	NA	0.21730880439281464	NA	NA
113	NA	NA	NA	NA	0.21227239072322845	NA	NA
114	NA	NA	NA	NA	0.20694300532341003	NA	NA
115	NA	NA	NA	NA	0.20286530256271362	NA	NA
116	NA	NA	NA	NA	0.20694702863693237	NA	NA
117	NA	NA	NA	NA	0.20948585867881775	NA	NA
118	NA	NA	NA	NA	0.21460139751434326	NA	NA
119	NA	NA	NA	NA	0.22698774933815002	NA	NA
120	NA	NA	NA	NA	0.226736918091774	NA	NA
121	NA	NA	NA	NA	0.23862381279468536	NA	NA
122	NA	NA	NA	NA	0.2387155294418335	NA	NA
123	NA	NA	NA	NA	0.23750871419906616	NA	NA
124	NA	NA	NA	NA	0.24450969696044922	NA	NA
125	NA	NA	NA	NA	0.24632081389427185	NA	NA
126	NA	NA	NA	NA	0.24256761372089386	NA	NA
127	NA	NA	NA	NA	0.23916175961494446	NA	NA
128	NA	NA	NA	NA	0.24237985908985138	NA	NA
129	NA	NA	NA	NA	0.250641405582428	NA	NA
130	NA	NA	NA	NA	0.25271376967430115	NA	NA
131	NA	NA	NA	NA	0.2583264112472534	NA	NA
132	NA	NA	NA	NA	0.28449752926826477	NA	NA
133	NA	NA	NA	NA	0.28998348116874695	NA	NA
134	NA	NA	NA	NA	0.2919003963470459	NA	NA
135	NA	NA	NA	NA	0.29805490374565125	NA	NA
136	NA	NA	NA	NA	0.29657405614852905	NA	NA
137	NA	NA	NA	NA	NA	NA	0.3013269007205963
138	NA	NA	NA	NA	0.2984369993209839	NA	NA
139	NA	NA	NA	NA	0.2938228249549866	NA	NA
140	NA	NA	NA	NA	0.29563871026039124	NA	NA
141	NA	NA	NA	NA	0.30220040678977966	NA	NA
142	NA	NA	NA	NA	0.30207324028015137	NA	NA
143	NA	NA	NA	NA	NA	NA	0.30405184626579285
144	NA	NA	NA	NA	0.3065164387226105	NA	NA
145	NA	NA	NA	NA	0.3164918124675751	NA	NA
146	NA	NA	NA	NA	0.3183317184448242	NA	NA
147	NA	NA	NA	NA	0.31776222586631775	NA	NA
148	NA	NA	NA	NA	0.3176702558994293	NA	NA
149	NA	NA	NA	NA	0.31925055384635925	NA	NA
150	NA	NA	NA	NA	NA	NA	0.3122064471244812
151	NA	NA	NA	NA	NA	NA	0.3097878694534302
152	NA	NA	NA	NA	NA	NA	0.30893829464912415
153	NA	NA	NA	NA	NA	NA	0.30440956354141235
154	NA	NA	NA	NA	NA	NA	0.30868685245513916
155	NA	NA	NA	NA	NA	NA	0.3123732805252075
156	NA	NA	NA	NA	NA	NA	0.31569090485572815
157	NA	NA	NA	NA	NA	NA	0.3194841146469116
158	NA	NA	NA	NA	NA	NA	0.32243674993515015
159	NA	NA	NA	NA	NA	NA	0.3234745264053345
160	NA	NA	NA	NA	NA	NA	0.3279908299446106
161	NA	NA	NA	NA	NA	NA	0.3292792737483978
162	NA	NA	NA	NA	NA	NA	0.33497095108032227
163	NA	NA	NA	NA	NA	NA	0.3398919701576233
164	NA	NA	NA	NA	NA	NA	0.34417906403541565
165	NA	NA	NA	NA	NA	NA	0.35151752829551697
166	NA	NA	NA	NA	NA	NA	0.3556920886039734
167	NA	NA	NA	NA	NA	NA	0.3580795228481293
168	NA	NA	NA	NA	NA	NA	0.35967373847961426
169	NA	NA	NA	NA	NA	NA	0.35800641775131226
170	NA	NA	NA	NA	NA	NA	0.3516765236854553
171	NA	NA	NA	NA	NA	NA	0.3508557081222534
172	NA	NA	NA	NA	NA	NA	0.3493698835372925
173	NA	NA	NA	NA	NA	NA	0.3538144826889038
174	NA	NA	NA	NA	NA	NA	0.35001447796821594
