,distance_scalar,dataset,kt
220,2.0,2,0.8894643106389728
221,2.0,2,0.8931428456984329
222,2.0,2,0.8869315235930197
223,2.0,2,0.8643776621681502
224,2.0,2,0.8414788816081864
225,2.0,2,0.8696601064049627
226,2.0,2,0.8809891200480406
227,2.0,2,0.8831555441787693
228,2.0,2,0.8512306132960041
229,2.0,2,0.7941957747857659
230,2.0,2,0.6214876047151361
231,2.0,2,0.8207160139804566
232,2.0,2,0.8280795009833173
233,2.0,2,0.8092049452068018
234,2.0,2,0.865286842137706
235,2.0,2,0.8101780306422978
236,2.0,2,0.7474911985506835
237,2.0,2,0.827115773627414
238,2.0,2,0.8645848994970057
239,2.0,2,0.8210141517436144
