	0	1	2
cell71	NA	NA	0.22562065720558167
cell72	NA	NA	0.06595200300216675
cell73	0.959183931350708	NA	NA
cell74	NA	NA	0.11560270190238953
cell75	NA	NA	0.2166953831911087
cell76	NA	NA	0.1939869523048401
cell77	NA	NA	0.2298099398612976
cell78	NA	NA	0.23600387573242188
cell79	NA	NA	0.10871504247188568
cell80	NA	NA	0.05741475522518158
cell81	NA	NA	0.25506648421287537
cell82	NA	NA	0.16997647285461426
cell83	NA	NA	0.20841842889785767
cell84	NA	NA	0.05326414108276367
cell85	NA	NA	0.22672156989574432
cell86	NA	NA	0.0672590360045433
cell87	NA	NA	0.2230684459209442
cell88	NA	NA	0.06148236617445946
cell89	NA	NA	0.25235310196876526
cell90	NA	NA	0.08778014034032822
cell91	NA	NA	0.1118030697107315
cell92	0.937476396560669	NA	NA
cell93	NA	NA	0.0625225082039833
cell94	NA	NA	0.05239866301417351
cell95	NA	NA	0.22441816329956055
cell96	NA	NA	0.1701001524925232
cell97	NA	NA	0.09155811369419098
cell98	NA	NA	0.16894780099391937
cell99	NA	NA	0.25148430466651917
cell100	NA	NA	0.12368085980415344
cell101	NA	NA	0.19324104487895966
cell102	NA	NA	0.09325513988733292
cell103	NA	NA	0.17079199850559235
cell104	NA	NA	0.0013937519397586584
cell105	NA	NA	0.07174082845449448
cell106	NA	NA	0.004536009859293699
cell107	NA	NA	0.11141516268253326
cell108	NA	NA	0.10090826451778412
cell109	NA	NA	0.22599445283412933
cell110	NA	NA	0.05626488849520683
cell111	NA	NA	0.05212587118148804
cell112	NA	NA	0.06777706742286682
cell113	NA	NA	0.193996861577034
cell114	NA	NA	0.2374696135520935
cell115	NA	NA	0.21651318669319153
cell116	NA	NA	0.06642698496580124
cell117	NA	NA	0.027118103578686714
cell118	NA	NA	0.06147575378417969
cell119	NA	NA	0.11058741807937622
cell120	NA	NA	0.1733310967683792
cell121	NA	NA	0.258404940366745
cell122	NA	NA	0.0677722617983818
cell123	NA	NA	0.21559900045394897
cell124	NA	NA	0.2103285938501358
cell125	NA	NA	0.022385817021131516
cell126	NA	NA	0.07699903100728989
cell127	NA	NA	0.22635789215564728
cell128	NA	NA	0.06772888451814651
cell129	NA	NA	0.06599777191877365
cell130	NA	NA	0.050755538046360016
cell131	NA	NA	0.2387402355670929
cell132	NA	NA	0.06298749148845673
cell133	NA	NA	0.167484313249588
cell134	NA	NA	0.0681142657995224
cell135	NA	NA	0.06806482374668121
cell136	NA	NA	0.16965748369693756
cell137	NA	NA	0.1666301190853119
cell138	NA	0.2710890769958496	NA
cell139	NA	NA	0.061205651611089706
cell140	NA	NA	0.06908369809389114
cell141	NA	NA	0.06287038326263428
cell142	NA	NA	0.012636145576834679
cell143	NA	NA	0.045511480420827866
