	0	1	2	3	4
Cell_160	NA	0.35535022616386414	NA	NA	NA
Cell_161	NA	0.3542436361312866	NA	NA	NA
Cell_162	NA	0.35785531997680664	NA	NA	NA
Cell_163	NA	0.3585711419582367	NA	NA	NA
Cell_164	NA	0.3645428717136383	NA	NA	NA
Cell_165	NA	0.35523122549057007	NA	NA	NA
Cell_166	NA	0.36709943413734436	NA	NA	NA
Cell_167	NA	0.37597689032554626	NA	NA	NA
Cell_168	NA	0.4007032513618469	NA	NA	NA
Cell_169	NA	0.3951031267642975	NA	NA	NA
Cell_170	NA	0.4046235680580139	NA	NA	NA
Cell_171	NA	0.4174623489379883	NA	NA	NA
Cell_172	NA	0.4188894033432007	NA	NA	NA
Cell_173	NA	0.43646547198295593	NA	NA	NA
Cell_174	NA	0.4418998956680298	NA	NA	NA
Cell_175	NA	0.45046180486679077	NA	NA	NA
Cell_176	NA	0.4543452262878418	NA	NA	NA
Cell_177	NA	0.48608309030532837	NA	NA	NA
Cell_178	NA	0.47884565591812134	NA	NA	NA
Cell_179	NA	0.5097232460975647	NA	NA	NA
Cell_180	NA	0.49568596482276917	NA	NA	NA
Cell_181	NA	0.5105355381965637	NA	NA	NA
Cell_182	NA	0.5091223120689392	NA	NA	NA
Cell_183	NA	0.5144385695457458	NA	NA	NA
Cell_184	NA	0.5119340419769287	NA	NA	NA
Cell_185	NA	0.5153442025184631	NA	NA	NA
Cell_186	NA	0.5210980772972107	NA	NA	NA
Cell_187	NA	0.5199701189994812	NA	NA	NA
Cell_188	NA	0.5207235813140869	NA	NA	NA
Cell_189	NA	0.5224195718765259	NA	NA	NA
Cell_190	NA	0.5394750833511353	NA	NA	NA
Cell_191	NA	0.5398157835006714	NA	NA	NA
Cell_192	NA	0.5512158870697021	NA	NA	NA
Cell_193	NA	0.5469570159912109	NA	NA	NA
Cell_194	NA	0.5413057208061218	NA	NA	NA
Cell_195	NA	0.5412865877151489	NA	NA	NA
Cell_196	NA	0.5460190176963806	NA	NA	NA
Cell_197	NA	0.5458677411079407	NA	NA	NA
Cell_198	NA	0.5494748950004578	NA	NA	NA
Cell_199	NA	0.5496978163719177	NA	NA	NA
Cell_200	NA	0.5551015734672546	NA	NA	NA
Cell_201	NA	0.5535458922386169	NA	NA	NA
Cell_202	NA	0.5792851448059082	NA	NA	NA
Cell_203	NA	0.5679498314857483	NA	NA	NA
Cell_204	NA	0.5752730965614319	NA	NA	NA
Cell_205	NA	0.580635130405426	NA	NA	NA
Cell_206	NA	0.5910430550575256	NA	NA	NA
Cell_207	NA	0.5779078602790833	NA	NA	NA
Cell_208	NA	0.5951787829399109	NA	NA	NA
Cell_209	NA	0.6076672077178955	NA	NA	NA
Cell_210	NA	0.6122242212295532	NA	NA	NA
Cell_211	NA	0.615545928478241	NA	NA	NA
Cell_212	NA	0.6236757636070251	NA	NA	NA
Cell_213	NA	0.6240396499633789	NA	NA	NA
Cell_214	NA	0.6285641193389893	NA	NA	NA
Cell_215	NA	0.6356070637702942	NA	NA	NA
Cell_216	NA	0.6376051902770996	NA	NA	NA
Cell_217	NA	0.639127254486084	NA	NA	NA
Cell_218	NA	0.6424025297164917	NA	NA	NA
Cell_219	NA	0.6507521867752075	NA	NA	NA
Cell_220	NA	0.6542487144470215	NA	NA	NA
Cell_221	NA	0.6612715721130371	NA	NA	NA
Cell_222	NA	0.6733690500259399	NA	NA	NA
Cell_223	NA	0.671288251876831	NA	NA	NA
Cell_224	NA	0.6674923896789551	NA	NA	NA
Cell_225	NA	0.6785559058189392	NA	NA	NA
Cell_226	NA	0.6849856972694397	NA	NA	NA
Cell_227	NA	0.6989343166351318	NA	NA	NA
Cell_228	NA	0.6909212470054626	NA	NA	NA
Cell_229	NA	0.699475884437561	NA	NA	NA
Cell_230	NA	0.7072885036468506	NA	NA	NA
Cell_231	NA	0.7124509215354919	NA	NA	NA
Cell_232	NA	0.7156703472137451	NA	NA	NA
Cell_233	NA	0.7131364345550537	NA	NA	NA
Cell_234	NA	0.7098589539527893	NA	NA	NA
Cell_235	NA	0.7192987203598022	NA	NA	NA
Cell_236	NA	0.7234492897987366	NA	NA	NA
Cell_237	NA	0.7261813282966614	NA	NA	NA
Cell_238	NA	0.7335441708564758	NA	NA	NA
Cell_239	NA	0.7583403587341309	NA	NA	NA
Cell_240	NA	0.7643299102783203	NA	NA	NA
Cell_241	NA	0.7684658169746399	NA	NA	NA
Cell_242	NA	0.7620421648025513	NA	NA	NA
Cell_243	NA	0.7799860239028931	NA	NA	NA
Cell_244	NA	0.7867828011512756	NA	NA	NA
Cell_245	NA	0.7795242071151733	NA	NA	NA
Cell_246	NA	0.781890869140625	NA	NA	NA
Cell_247	NA	0.7876115441322327	NA	NA	NA
Cell_248	NA	0.7895599007606506	NA	NA	NA
Cell_249	NA	0.7909343242645264	NA	NA	NA
Cell_250	NA	0.7955254316329956	NA	NA	NA
Cell_251	NA	0.7908627390861511	NA	NA	NA
Cell_252	NA	0.7945906519889832	NA	NA	NA
Cell_253	NA	0.795169472694397	NA	NA	NA
Cell_254	NA	0.7845660448074341	NA	NA	NA
Cell_255	NA	0.7865269780158997	NA	NA	NA
Cell_256	NA	0.7821195125579834	NA	NA	NA
Cell_257	NA	0.7870062589645386	NA	NA	NA
Cell_258	NA	0.7878491282463074	NA	NA	NA
Cell_259	NA	0.7875841856002808	NA	NA	NA
Cell_260	NA	0.7865933179855347	NA	NA	NA
Cell_261	NA	0.790740966796875	NA	NA	NA
Cell_262	NA	0.7890427112579346	NA	NA	NA
Cell_263	NA	0.7989221811294556	NA	NA	NA
Cell_264	NA	0.7909294366836548	NA	NA	NA
Cell_265	NA	0.8022286891937256	NA	NA	NA
Cell_266	NA	0.800987184047699	NA	NA	NA
Cell_267	NA	0.8058221936225891	NA	NA	NA
Cell_268	NA	0.821374237537384	NA	NA	NA
Cell_269	NA	0.8274672627449036	NA	NA	NA
Cell_270	NA	0.8208221197128296	NA	NA	NA
Cell_271	NA	0.8323956727981567	NA	NA	NA
Cell_272	NA	0.8267812132835388	NA	NA	NA
Cell_273	NA	0.8296916484832764	NA	NA	NA
Cell_274	NA	0.8204915523529053	NA	NA	NA
Cell_275	NA	0.8260442614555359	NA	NA	NA
Cell_276	NA	0.8368586897850037	NA	NA	NA
Cell_277	NA	0.8337769508361816	NA	NA	NA
Cell_278	NA	0.8379247784614563	NA	NA	NA
Cell_279	NA	0.8428850173950195	NA	NA	NA
Cell_280	NA	0.8451985716819763	NA	NA	NA
Cell_281	NA	0.8498790860176086	NA	NA	NA
Cell_282	NA	0.857097327709198	NA	NA	NA
Cell_283	NA	0.8621075749397278	NA	NA	NA
Cell_284	NA	0.8616384267807007	NA	NA	NA
Cell_285	NA	0.8611343502998352	NA	NA	NA
Cell_286	NA	0.8653594255447388	NA	NA	NA
Cell_287	NA	0.866852343082428	NA	NA	NA
Cell_288	NA	0.867573618888855	NA	NA	NA
